,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
1267,3494,10657,40.440000000000005,74,8.3,31,6.72,16,7.77,1,0.71,12,35.99
1268,3496,200,12.240000000000002,12,7.89,3,4.02,4,8.77,0,0.0,5,67.01
1269,3497,103,38.74,7,19.86,1,8.08,1,9.42,0,0.0,1,23.83
1270,3498,21831,47.870000000000005,23,5.06,12,5.72,6,5.59,0,0.0,8,35.69
1271,3499,8544,43.81,23,5.81,11,5.73,3,3.13,0,0.0,9,41.45
1272,3501,10481,34.97,41,4.77,27,6.69,14,6.72,0,0.0,13,46.77
1273,3502,278,39.07,4,5.35,7,22.27,4,21.19,0,0.0,1,12.06
1274,3503,279,99.97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1275,3504,10939,24.08,13,1.6,11,2.81,10,5.21,3,2.52,11,63.71
1276,3505,160,10.280000000000001,0,0.0,1,3.42,1,12.06,0,0.0,1,74.2
1277,3506,609,57.87,9,13.38,3,9.74,3,18.939999999999998,0,0.0,0,0.0
1278,3507,261,9.49,5,2.19,5,4.31,2,3.87,2,5.5,7,74.55
1279,3508,39343,63.290000000000006,23,3.34,20,5.23,6,3.18,2,1.61,9,23.27
1280,3511,9907,37.11,15,2.54,5,1.66,6,4.05,1,1.05,4,53.51
1281,3512,1894,13.799999999999999,22,3.62,17,5.68,8,5.29,0,0.0,13,71.53
1282,3513,15,0.2,0,0.0,1,2.73,3,18.57,3,26.58,3,51.88
1283,3515,5920,12.1,27,3.03,19,4.32,10,4.609999999999999,5,3.71,13,72.17
