資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20211217,00650L,13,2,1440000,4.66
20211217,00650L,14,3,2705000,8.77
20211217,00650L,15,2,2507000,8.12
20211217,00650L,16,0,0,0.00
20211217,00650L,17,1319,30838000,100.00
20211217,00651R,1,13,2167,0.00
20211217,00651R,2,232,571000,2.22
20211217,00651R,3,121,1023000,3.98
20211217,00651R,4,29,378000,1.47
20211217,00651R,5,50,958000,3.72
20211217,00651R,6,38,993000,3.86
20211217,00651R,7,25,901000,3.50
20211217,00651R,8,20,982000,3.82
20211217,00651R,9,23,1696027,6.60
20211217,00651R,10,21,2714000,10.56
20211217,00651R,11,4,1021000,3.97
20211217,00651R,12,3,1632000,6.35
20211217,00651R,13,0,0,0.00
20211217,00651R,14,1,876000,3.40
20211217,00651R,15,7,11944806,46.49
20211217,00651R,16,0,0,0.00
20211217,00651R,17,587,25692000,100.00
20211217,00652,1,2355,808603,4.13
20211217,00652,2,2235,4627878,23.69
20211217,00652,3,392,2953593,15.11
20211217,00652,4,105,1302072,6.66
20211217,00652,5,55,1016316,5.20
20211217,00652,6,50,1235937,6.32
20211217,00652,7,23,805901,4.12
20211217,00652,8,6,287932,1.47
20211217,00652,9,20,1487200,7.61
20211217,00652,10,7,953000,4.87
20211217,00652,11,3,927500,4.74
20211217,00652,12,5,2430000,12.43
20211217,00652,13,1,699068,3.57
20211217,00652,14,0,0,0.00
20211217,00652,15,0,0,0.00
20211217,00652,16,0,0,0.00
20211217,00652,17,5257,19535000,100.00
20211217,00653L,1,57,6894,0.03
20211217,00653L,2,703,1586722,8.62
20211217,00653L,3,167,1318293,7.16
20211217,00653L,4,57,743000,4.03
20211217,00653L,5,41,757000,4.11
20211217,00653L,6,35,887000,4.81
20211217,00653L,7,22,804000,4.36
20211217,00653L,8,13,589000,3.20
20211217,00653L,9,32,2251000,12.23
20211217,00653L,10,12,1861484,10.11
20211217,00653L,11,7,2226000,12.09
20211217,00653L,12,2,1084000,5.89
20211217,00653L,13,2,1289000,7.00
20211217,00653L,14,0,0,0.00
20211217,00653L,15,2,2999607,16.29
20211217,00653L,16,0,0,0.00
20211217,00653L,17,1152,18403000,100.00
20211217,00654R,1,8,468,0.00
20211217,00654R,2,281,722000,3.07
20211217,00654R,3,130,1087000,4.63
20211217,00654R,4,54,729000,3.10
20211217,00654R,5,53,987528,4.20
20211217,00654R,6,46,1211000,5.16
20211217,00654R,7,26,943000,4.01
20211217,00654R,8,23,1096000,4.67
20211217,00654R,9,41,2966000,12.63
20211217,00654R,10,13,1695000,7.22
20211217,00654R,11,6,1814000,7.73
20211217,00654R,12,5,2430000,10.35
20211217,00654R,13,1,773000,3.29
20211217,00654R,14,0,0,0.00
20211217,00654R,15,3,7012004,29.88
20211217,00654R,16,0,0,0.00
20211217,00654R,17,690,23466000,100.00
20211217,00655L,1,74,13151,0.01
20211217,00655L,2,1622,3963297,3.22
20211217,00655L,3,591,4816564,3.91
20211217,00655L,4,268,3462500,2.81
20211217,00655L,5,202,3780004,3.07
20211217,00655L,6,203,5210000,4.23
20211217,00655L,7,123,4421000,3.59
20211217,00655L,8,97,4534001,3.68
20211217,00655L,9,166,11941000,9.71
