,排  名,代號,名稱,成交,漲跌  價,漲跌  幅,更新  日期,成交  價  歷日  排名,成交  價  創高  創低  日數,成交  張數,成交  張數  歷日  排名,成交  張數  創高  創低  日數,成交  金額  (百萬),成交  金額  歷日  排名,成交  金額  創高  創低  日數,1個月  走勢圖,3個月  走勢圖,1年  走勢圖,3年  走勢圖
177,169,8040,九暘,82.1,+0.9,+1.11,03/29,+78,+2,7981,+79,+11,658,+47,+11,,,,
178,170,8488,吉源-KY,16.2,0,0,03/29,-657,0,304,+31,+11,4.93,+51,+11,,,,
180,172,2022,聚亨,11.2,+0.35,+3.23,03/29,+1647,+20,1538,-3184,+10,17.1,+3434,+10,,,,
181,173,2030,彰源,18,0,0,03/29,+2038,0,724,+2864,+10,13,+2674,+10,,,,
182,174,2239,英利-KY,56.8,-0.7,-1.22,03/29,-78,-14,90,-779,+10,5.11,-433,+10,,,,
183,175,2538,基泰,15,-0.25,-1.64,03/29,+2871,-89,1548,+2693,+10,23.4,+2756,+10,,,,
184,176,2543,皇昌,42.5,-0.6,-1.39,03/29,+17,-2,4877,+175,+10,206,+42,+10,,,,
185,177,2614,東森,20.25,+0.1,+0.5,03/29,+1471,+20,1664,-1683,+10,33.9,-3051,+10,,,,
186,178,2739,寒舍,49.25,-1.35,-2.67,03/29,+197,-15,867,+137,+10,43,+138,+10,,,,
187,179,4154,樂威科-KY,13.5,-0.45,-3.23,03/29,-43,-78,60,+875,+10,0.83,+1376,+10,,,,
188,180,4416,三圓,102,+1,+0.99,03/29,+765,+2,38,+678,+10,3.91,+307,+10,,,,
190,181,6117,迎廣,81,+1.1,+1.38,03/29,+195,+9,7148,+69,+10,581,+56,+10,,,,
191,182,6219,富旺,37.4,+1.3,+3.6,03/29,+1,+5304,2801,+396,+10,103,+126,+10,,,,
192,183,6263,普萊德,157,+1,+0.64,03/29,+26,+4,365,+552,+10,57.6,+184,+10,,,,
193,184,6615,慧智,41,+0.3,+0.74,03/29,-273,+2,25,+678,+10,1.03,-731,+10,,,,
194,185,6672,騰輝電子-KY,91,+1.4,+1.56,03/29,+458,+4,346,-396,+10,31.5,-411,+10,,,,
195,186,8404,百和興業-KY,18.4,0,0,03/29,-528,0,343,+1335,+10,6.32,-1354,+10,,,,
197,188,9904,寶成,36.15,-0.1,-0.28,03/29,+4175,-2,37546,+149,+10,1357,+187,+320,,,,
198,189,1535,中宇,76.8,+1.7,+2.26,03/29,+190,+2178,897,+414,+9,68.5,+197,+12,,,,
199,190,1732,毛寶,28.05,+0.1,+0.36,03/29,+716,+10,273,+1843,+9,7.77,+1359,+9,,,,
200,191,2038,海光,18.1,-0.15,-0.82,03/29,+989,-7,378,+1545,+9,6.88,+1332,+9,,,,
201,192,2432,倚天酷碁-創,39.15,+0.15,+0.38,03/29,+999,+7,25,-137,+9,0.96,-133,+9,,,,
202,193,2530,華建,44.2,-0.65,-1.45,03/29,+229,-2,2951,+2047,+9,133,+520,+9,,,,
203,194,3034,聯詠,604,+15,+2.55,03/29,+13,+9,7498,+1149,+9,4518,+125,+9,,,,
204,195,5907,大洋-KY,8.92,-0.15,-1.65,03/29,-2,-9,445,+899,+9,3.95,-949,+9,,,,
205,196,8089,康全電訊,67.2,+4.1,+6.5,03/29,+29,+7,3471,+41,+9,232,+38,+9,,,,
206,197,8476,台境,63.7,-0.4,-0.62,03/29,+164,-3,177,+356,+9,11.2,+291,+9,,,,
207,198,9918,欣天然,40.7,+0.2,+0.49,03/29,+886,+6,15,-3293,+9,0.61,+3463,+9,,,,
210,200,1443,立益物流,28.4,-0.25,-0.87,03/29,+899,-3,23,-1046,+8,0.66,-3082,+8,,,,
211,201,2020,美亞,38.25,+0.4,+1.06,03/29,+795,+655,2139,+948,+8,81.5,+646,+8,,,,
212,202,2303,聯電,52.2,+0.2,+0.38,03/29,+1903,+5,139286,+637,+8,7234,+534,+8,,,,
213,203,2454,聯發科,1195,+35,+3.02,03/29,+6,+12,8549,+1784,+8,10122,+145,+8,,,,
214,204,2748,雲品,71.4,-1,-1.38,03/29,+275,-15,406,+400,+8,29.1,+382,+8,,,,
215,205,3264,欣銓,83.6,+1.3,+1.58,03/29,+5,+2,24975,+40,+8,2075,+15,+7,,,,
216,206,3516,亞帝歐,22,-1,-4.35,03/29,+191,-29,510,+439,+8,11.3,+310,+8,,,,
217,207,3680,家登,434,+1.5,+0.35,03/29,+12,+8,3317,+225,+8,1466,+89,+8,,,,
218,208,3702,大聯大,95.9,-0.1,-0.1,03/29,+4,-2,20920,+158,+8,1973,+16,+8,,,,
219,209,4426,利勤,17.6,-0.3,-1.68,03/29,-1113,-2858,167,-1851,+8,2.95,-1632,+8,,,,
220,210,4994,傳奇,115,-6,-4.96,03/29,+931,-14,435,+399,+8,51.4,+394,+6,,,,
221,211,5202,力新,22.25,-1.3,-5.52,03/29,+630,-24,1662,+293,+8,37.7,+167,+8,,,,
222,212,6451,訊芯-KY,176.5,-8.5,-4.59,03/29,+70,-37,3668,+258,+8,659,+167,+8,,,,
223,213,6949,沛爾生醫-創,81.4,+3.9,+5.03,03/29,+8,+9,207,+7,+8,16.6,+8,+8,,,,
229,218,1432,大魯閣,18.85,-0.6,-3.08,03/29,+2741,-49,1022,+1936,+7,19.4,+2088,+4,,,,
230,219,1444,力麗,9.11,-0.04,-0.44,03/29,-2919,-888,1855,-3341,+7,16.9,-2908,+7,,,,
231,220,1762,中化生,48.85,-1.15,-2.3,03/29,+1616,-12,409,+1569,+7,20.1,+1543,+7,,,,
232,221,2107,厚生,24.15,-0.1,-0.41,03/29,+3119,-2,453,-1198,+7,10.9,-1754,+7,,,,
233,222,2231,為升,120,+2.5,+2.13,03/29,-1212,+7,475,+1440,+7,57,-1608,+7,,,,
234,223,2301,光寶科,101,-5,-4.72,03/29,+354,-99,66518,+26,+7,6703,+33,+6,,,,
235,224,2352,佳世達,44.65,-0.2,-0.45,03/29,+1490,-3,32640,+688,+7,1455,+642,+7,,,,
236,225,3014,聯陽,175.5,-1,-0.57,03/29,+11,-3,5967,+650,+7,1044,+119,+7,,,,
237,226,3054,立萬利,20.7,-0.35,-1.66,03/29,+2420,-6,96,+2614,+7,1.99,+2395,+7,,,,
238,227,3596,智易,191.5,0,0,03/29,+6,0,6254,+348,+7,1188,+77,+7,,,,
239,228,4137,麗豐-KY,196.5,+1.5,+0.77,03/29,-1117,+18,101,-309,+7,19.9,-347,+7,,,,
240,229,5383,金利,40,+0.8,+2.04,03/29,+93,+9,453,+1174,+7,18.2,+559,+7,,,,
241,230,6187,萬潤,249,+6,+2.47,03/29,+12,+4,738,+2327,+7,182,+573,+6,,,,
242,231,6278,台表科,108.5,+3,+2.84,03/29,+441,+8,5638,+709,+7,614,+475,+7,,,,
243,232,6291,沛亨,168,-1,-0.59,03/29,+208,-142,112,+1474,+7,18.7,+433,-2,,,,
244,233,6414,樺漢,375,+26,+7.45,03/29,+563,+1372,12456,+4,+7,4489,+3,+7,,,,
245,234,6531,愛普*,401.5,+13.5,+3.48,03/29,+398,+4,2704,+837,+7,1080,+660,+6,,,,
247,235,6582,申豐,48.15,-0.4,-0.82,03/29,-43,-5,67,-648,+7,3.21,-592,+7,,,,
248,236,6804,明係,50.5,-0.4,-0.79,03/29,-44,-17,38,-232,+7,1.9,-218,+7,,,,
249,237,6835,圓裕,50.5,+1.15,+2.33,03/29,+7,+7,534,+51,+7,26.5,+44,+7,,,,
250,238,8016,矽創,291.5,-8.5,-2.83,03/29,+154,-3,4638,+388,+7,1364,+131,+7,,,,
251,239,8150,南茂,50,-1,-1.96,03/29,+98,-3,15936,+136,+7,798,+78,+7,,,,
252,240,8358,金居,59.5,+1.2,+2.06,03/29,+486,+22,3098,+1121,+7,184,+940,+7,,,,
253,241,8416,實威,146.5,-1,-0.68,03/29,+359,-11,36,+1044,+7,5.22,+858,+7,,,,
254,242,8438,昶昕,27.95,-0.45,-1.58,03/29,+159,-4,142,+39,+7,3.95,+47,+7,,,,
264,252,1225,福懋油,56.5,+0.5,+0.89,03/29,+695,+157,32,-1119,+6,1.77,-2609,+6,,,,
266,253,1402,遠東新,33.25,+0.2,+0.61,03/29,+2783,+179,4792,-2572,+6,159,-3134,+6,,,,
267,254,1467,南緯,10.95,+0.05,+0.46,03/29,-1969,+4,1100,+1429,+6,12,+1651,+6,,,,
268,255,1533,車王電,47.9,-0.9,-1.84,03/29,+1483,-7,144,-2277,+6,6.91,+2798,+6,,,,
269,256,1702,南僑,57.3,-0.9,-1.55,03/29,+1119,-7,875,+3594,+6,50.1,+2026,+6,,,,
270,257,2206,三陽工業,75,-1.6,-2.09,03/29,+83,-10,5401,+1632,+6,407,+383,+6,,,,
271,258,2347,聯強,78.9,+0.5,+0.64,03/29,+1266,+8,5203,+2714,+6,407,+2197,+6,,,,
272,259,2505,國揚,27.65,0,0,03/29,+1249,0,3548,+2637,+6,100,+1851,+6,,,,
273,260,2880,華南金,23.15,+0.25,+1.09,03/29,+3817,+283,20304,+878,+6,470,+1856,+6,,,,
274,261,2887,台新金,18,+0.05,+0.28,03/29,+2043,+2,15585,+3257,+6,281,+2496,+6,,,,
275,262,2897,王道銀行,10.05,+0.12,+1.21,03/29,+65,+8,8360,+120,+6,83.6,+104,+6,,,,
276,263,2945,三商家購,45.9,-0.5,-1.08,03/29,+214,-5,86,+50,+6,3.9,+73,+3,,,,
277,264,3131,弘塑,877,+24,+2.81,03/29,+14,+4,1314,+215,+6,1159,+49,+6,,,,
278,265,3138,耀登,133,+3.5,+2.7,03/29,-94,+4,220,-131,+6,29.1,-104,+6,,,,
279,266,3169,亞信,125,-3,-2.34,03/29,+439,-31,1020,+860,+6,128,+553,+6,,,,
