,排  名,代號,名稱,成交,財報  季度,市值  (億),現金  (億),應收  帳款  (億),存貨  (億),速動  資產  (億),流動  資產  (億),投資  (億),固定  資產  (億),無形  資產  (億),其他  資產  (億),資產  總額  (億),流動  負債  (億),長期  負債  (億),其他  負債  (億),負債  總額  (億),股東  權益  (億),每股  淨值  (元),財報  評分
140,134,8091,翔名,86.9,22Q3,41.7,10.5,3.96,5.18,15.5,20.9,0.23,18.6,0.14,0.35,40.6,4.53,7.1,0.17,11.8,28.7,62.99,74
141,135,3596,智易,104,22Q4,229,75.8,111,146,187,335,3.98,49.1,0.93,0.95,400,258,,1.09,261,139,62.66,43
142,136,4746,台耀,70.3,22Q4,84.5,12.8,8.27,16,24.6,41.5,22.5,58.8,2.23,1.06,128,31.4,17.2,0.51,49.5,78,62.54,51
143,137,3227,原相,108,22Q4,158,38.6,6.37,9.88,51.7,62.4,25.5,8.06,1.58,12.1,113,16.6,,0.17,21.5,91.3,62.48,64
144,138,3617,碩天,114,22Q3,92.3,16.2,27.7,38.5,44.2,84.7,12.1,17.4,0.89,1.5,121,53.8,14,1.16,70.5,50.6,62.05,51
145,139,3653,健策,407,22Q3,547,24.3,28.4,34.4,55.3,90.4,2.93,46.1,0.12,7.61,150,32.2,20.7,0.53,56.8,93.2,61.91,70
146,140,6464,台數科,89.7,22Q3,118,20.9,2.72,0.45,23.8,26.4,9.54,17.7,133,6.34,195,22.2,81.7,3.81,111,83.6,61.67,66
147,141,6462,神盾,88.4,22Q3,61.2,15.4,6.52,17.7,40.6,59.8,46.8,1.32,6.73,1.48,120,26,13.5,0.03,41.5,78.3,61.54,38
148,142,6192,巨路,75.6,22Q3,72.7,19.8,14.4,27.1,51.4,79.7,2.94,10.3,,2.05,95.4,32.4,,0.9,36.3,59.1,61.45,60
149,143,3026,禾伸堂,98.6,22Q4,156,33.7,30.9,36.3,66.9,104,6.26,48,0.08,1.72,161,39.7,19.1,0.54,60.4,101,61.37,53
150,144,1259,安心,74.4,22Q4,24.1,10.8,1.47,0.78,18.8,19.7,6.64,5.39,0.07,1.4,53.2,17.1,,0.03,33.2,20.1,61.28,49
152,145,6451,訊芯-KY,80.7,22Q3,86.7,81.1,10.8,10.7,97.3,109,3.63,31.1,0.02,0.24,150,60.7,18.7,0.91,83.2,67,61.06,47
153,146,3388,崇越電,73.4,22Q4,54.4,26.6,18,10.8,44.6,56.8,3.69,4.74,,0.21,66.5,12.2,6.32,0,19.9,46.6,61,53
154,147,2723,美食-KY,146.5,22Q3,264,24.8,3.99,10.2,61.8,75.7,8.92,63.9,0.45,8.6,207,62.7,,1.89,98.4,109,60.75,55
155,148,3551,世禾,60.7,22Q4,34.5,10.2,4.57,1.31,15.7,17.3,2.81,25.3,,1.96,47.9,7.89,5.73,0.05,13.9,34,60.54,68
156,149,3527,聚積,117,22Q4,52,10.3,5.38,9.65,15.7,26,0.3,3.42,0.76,0.64,32.1,4.98,,0.05,5.26,26.9,60.42,64
157,150,5306,桂盟,144.5,22Q3,182,31.5,14.7,12.7,50.4,66.3,1.32,36.3,15,0.72,129,32.4,15.8,0.48,53.4,75.9,60.25,81
158,151,3443,創意,1170,22Q4,1568,58.5,30,65.6,106,196,,6.46,5.41,1.53,212,126,,1.96,131,80.6,60.15,59
159,152,8255,朋程,165.5,22Q4,151,7.84,8.51,8,16.9,26.6,28.5,32.1,0.11,10.6,98.7,28.8,11.8,0,40.9,57.8,60.12,47
160,153,6472,保瑞,561,22Q4,430,32.8,63.7,19.5,99.4,122,0.82,66.5,21.5,1.61,228,105,49.7,4.75,176,51.4,60.06,55
161,154,6230,尼得科超眾,130.5,22Q3,113,23.1,37.2,21,60.2,83.5,0.89,25.5,0.32,0.46,114,46.6,7.62,0.45,62.5,51.8,60.02,40
162,155,5904,寶雅,586,22Q4,599,25.9,12.5,49.8,38.4,88.8,,33.4,,4.73,244,73.3,9.13,0.2,183,60.7,59.41,57
163,156,1726,永記,72.1,22Q4,117,15,26.9,25.7,46.7,73.3,3.17,33.2,0.05,0.49,114,16.5,,0.19,18.4,95.7,59.09,51
164,157,3680,家登,349,22Q3,295,19.3,8.65,15.1,30.2,46.3,25.9,32.2,1.69,4.69,112,22.1,36.1,0.36,59.2,52.9,59.04,66
165,158,2612,中航,40.95,22Q4,80.9,39.9,2.95,0.22,46,49.7,13.6,139,0.05,0.63,205,32.9,47.6,0.12,88,117,58.95,60
166,159,5203,訊連,96.5,22Q4,76,17.4,1.26,0.06,20.3,20.6,32.5,4.37,0.02,0.07,58.2,7.07,,0.63,11.7,46.5,58.9,60
167,160,4137,麗豐-KY,207.5,22Q4,165,56.4,0.8,4.86,57.2,62.8,5.03,12.3,0.93,0.42,86,19.2,17.2,0.03,39.4,46.5,58.88,66
168,161,4942,嘉彰,37.75,22Q4,53.7,20.8,26.6,3.97,47.4,75.8,3.7,15,,11.4,108,22.1,0.04,0.01,24.1,83.5,58.64,53
169,162,6643,M31,628,22Q4,199,5.47,3.29,,14.4,16.6,1.19,5.71,0.11,0,23.7,5.05,0,,5.1,18.6,58.62,82
171,163,2408,南亞科,59.2,22Q4,1833,736,66.9,234,803,1055,61.3,849,7.67,0.72,2022,162,,8.94,213,1810,58.41,72
172,164,5371,中光電,65.1,22Q4,255,124,116,104,289,403,40.9,80.9,3.59,4.32,559,259,34.1,0.94,308,251,58.13,43
173,165,3037,欣興,135.5,22Q4,2065,615,305,128,920,1076,122,941,6.44,2.15,2187,549,669,33,1260,927,57.99,74
174,166,1788,杏昌,143.5,22Q3,63.9,2.13,12.7,7.89,15.4,24.4,1.37,10.6,1.82,1.48,45,16.4,0.15,0.19,21.6,23.5,57.94,45
175,167,6579,研揚,92.6,22Q4,138,22.3,11.8,20.9,37.2,59.2,44.5,8.06,0.13,0.2,114,16.6,2.18,0.08,20.4,93.6,57.92,64
176,168,6706,惠特,92,22Q3,67.7,22.1,12.1,16.8,37.4,54.5,1.36,15,0.06,0.28,73.1,20.2,9.15,0.01,30.6,42.5,57.86,68
177,169,8422,可寧衛,186.5,22Q4,203,33.9,5.23,0.56,47.1,49.2,11,59.4,,1.79,126,15.7,37.9,0.08,59.7,66,57.73,79
